Estado,Expectativa,Descripción,Recuento Inesperados,Porcentaje Inesperado,Total de Filas
Estadísticas Generales,,"Total de validaciones: 5, Exitosas: 5, Fallidas: 0, Porcentaje de éxito: 100.0%",,,50
Éxito,Expectativas de Referencia de Caracteres,"Verifica que los valores de `telefono` comiencen con uno de los prefijos válidos: 373, 324, 325, 366, 306, 395, 382, 318, 354, 305, 369, 377, 326, 362, 349, 388, 353, 313, 359, 314, 308, 329, 397, 303, 333, 322, 339, 302, 309, 348, 335, 393, 315, 341, 389, 301, 394, 327, 345, 396, 399, 368.",0,0.0,50
Éxito,Expectativas de Valores No Nulos,Verifica que los valores de `telefono` no sean nulos.,0,0.0,50
Éxito,Expectativas de Longitud de Valores,Verifica que la longitud de los valores de `telefono` esté entre 1 y 10.,0,0.0,50
Éxito,Expectativas de Longitud de Valores,Verifica que la longitud de los valores de `telefono` sea exactamente 10.,0,0.0,50
Éxito,Expectativas valor único,Verifica que los valores de `id` sean únicos.,0,0.0,50
