Estado,Expectativa,Descripción,Recuento Inesperados,Porcentaje Inesperado,Total de Filas
Estadísticas Generales,,"Total de validaciones: 5, Exitosas: 5, Fallidas: 0, Porcentaje de éxito: 100.0%",,,50
Éxito,Expectativas de Referencia de Caracteres,"Verifica que los valores de `telefono` comiencen con uno de los prefijos válidos: 315, 373, 369, 395, 399, 313, 326, 314, 318, 389, 353, 359, 305, 366, 394, 396, 325, 301, 362, 345, 393, 377, 322, 302, 308, 397, 388, 349, 368, 327, 354, 382, 333, 339, 309, 329, 303, 341, 335, 324, 348, 306.",0,0.0,50
Éxito,Expectativas de Valores No Nulos,Verifica que los valores de `telefono` no sean nulos.,0,0.0,50
Éxito,Expectativas de Longitud de Valores,Verifica que la longitud de los valores de `telefono` esté entre 1 y 10.,0,0.0,50
Éxito,Expectativas de Longitud de Valores,Verifica que la longitud de los valores de `telefono` sea exactamente 10.,0,0.0,50
Éxito,Expectativas valor único,Verifica que los valores de `id` sean únicos.,0,0.0,50
